Lund's Treefrog
Mundo Novo Treefrog
Salta Treefrog
Smallskin Treefrog
Many-banded Treefrog
Ornate Treefrog
Leopard Treefrog
Palm Treefrog
Imbabura Treefrog
Cope's Eastern Paraguay Treefrog
Burmeister's Treefrog
Chirique-Flusse Treefrog
Montevideo Treefrog
Dotted Treefrog
Chaco Treefrog
Hoogmoed's Treefrog
Rosenberg's Treefrog
Valle Treefrog
Canal Zone Treefrog
Barro Branco Treefrog
Speckled Treefrog
La Escalera Treefrog
Tepui Tree Frog
Tetete's Treefrog
Upper Orinoco Treefrog
Angel's Madagascar Frog
Santa Barbara Treefrog
Paranapiacaba Treefrog
Carvalho's Treefrog
Izecksohn's Treefrog
Peter's Mushroomtongue Salamander
Alberch's Salamander
Moravia de Chirripo Salamander
Coal Black Salamander
Aura’s Golden Salamander
Two-lined Mushroomtongue Salamander
Carabobo Salamander
Brame's Web-footed Salamander
Orphan Salamander
Cloud Forest Salamander
Celaque Mushroomtongue Salamande
Millville Mushroomtongue Salamander
Hotel Zaracay Salamander
Chinateca Salamander
Chucanti Salamander
La Loma Salamander
Cerro Pando Salamander
Conant's Mushroomtongue Salamander
El Copé Giant Salamander
Oak Forest Salamander
Camp Sasardi Salamander
Rio Santa Rosa Salamander
Quebrada Valverde Salamander
Doflein's Mushroomtongue Salamander
Dunn's Mushroomtongue Salamander
Engelhardt's Mushroomtongue Salamander
Tapanti Mushroomtongue Salamander
Ecuador Mushroomtongue Salamander
Yellow-legged Salamander
Yellow-bellied Salamander
Franklin's Salamander
Gomez’s Web-footed Salamander
Rio Quiri Salamander
Guaramacal’s Salamander
Hartweg's Mushroomtongue Salamander
Holy-mountain Salamander
Coban Mushroomtongue Salamander
Guerreran Mushroomtongue Salamander
Salamandra del Duende
Paramo Frontino Salamander
Salamandra del Río Indio
Salamandra del Volcán Maderas
Jackson's Mushroomtongue Salamander
Continental Divide Salamander
Leandra Salamander
Camron Mushroomtongue Salamander
Lincoln's Mushroomtongue Salamander
Oaxacan Salamander
Magnificent Web-footed Salamander
Crater Salamander
Finca Chibigui Salamander
Galliwasp
Salamandra De Mombacho
Cope's Mushroomtongue Salamander
La Mucuy Salamander
Müller's Mushroomtongue Salamander
San Gil Mushroomtongue Salamander
