Gray Heron
Great Blue Heron
White-bellied Heron
Intermediate Egret
Plumed Egret
Purple Heron
Flesh-footed Shearwater
Pink-footed Shearwater
Sooty Shearwater
Wedge-tailed Shearwater
Short-tailed Shearwater
Malagasy Pond Heron
Squacco Heron
Indian Bustard
Ruddy Turnstone
Iraq Babbler
Scaly Chatterer
Common Babbler
Ashy-fronted Babbler
Striated Babbler
Fulvous Chatterer
White-throated Babbler
Slender-billed Babbler
Large Grey Babbler
Rufous Chatterer
Black-winged Babbler
Arabian Babbler
Jungle Babbler
Rufous Babbler
Yellow-throated Mountain Greenbul
Black-browed Mountain Greenbul
Shelley's Greenbul
Stripe-cheeked Greenbul
Cameroon Mountain Greenbul
Uluguru Mountain Greenbul
Eastern Mountain Greenbul
Olive-headed Bulbul
Western Greenbul
Black-capped Sparrow
Grey-browed Brush-finch
Black-headed Brush-finch
Orange-billed Sparrow
Yellow-mandibled Sparrow
Sierra Nevada Brush-finch
Chestnut-capped Brush Finch
Olive Finch
Costa Rican Brush-finch
Sooty-faced Finch
Stripe-crowned Sparrow
Saffron-billed Sparrow
São Francisco Sparrow
Maranon Sparrow
Perija Brush-finch
Caracas Brush-finch
Paria Brush-finch
Golden-winged Sparrow
Half-collared Sparrow
Pectoral Sparrow
White-browed Brush-finch
Green-striped Brush-finch
Green-backed Sparrow
Black-striped Sparrow
Olive Sparrow
Tocuyo Sparrow
Rufous-collared Monarch
Pied Monarch
Frill-necked Monarch
Frilled Monarch
White-headed Vanga
Black-faced Woodswallow
Dusky Woodswallow
Ashy Woodswallow
White-backed Woodswallow
White-breasted Woodswallow
Great Woodswallow
Fiji Woodswallow
Little Woodswallow
Ivory-backed Woodswallow
Masked Woodswallow
White-browed Woodswallow
Bell's Sparrow
Sagebrush Sparrow
African Tailorbird
Long-billed Forest-warbler
Long-billed Tailorbird
White-headed Marsh-tyrant
Sooty Grassquit
Dull-coloured Grassquit
Gibberbird
Striped Owl
Northern Long-eared Owl
Austral Canastero
Dark-winged Canastero
Ayacucho Thistletail
Short-billed Canastero
Berlepsch's Canastero
Ochre-browed Thistletail
Creamy-breasted Canastero
Many-striped Canastero
White-chinned Thistletail
Mouse-colored Thistletail
Black-throated Thistletail
Puna Thistletail
Maquis Canastero
Huancavelica Canastero
Hudson's Canastero
Streak-throated Canastero
Cipo Canastero
Scribble-tailed Canastero
Cordilleran Canastero
Itatiaia Spinetail
Rusty-fronted Canastero
Eye-ringed Thistletail
Perija Thistletail
Canyon Canastero
Lesser Canastero
Line-fronted Canastero
White-tailed Canastero
Vilcabamba Thistletail
Junin Canastero
Streak-backed Canastero
Ribbon-tailed Astrapia
Arfak Astrapia
Huon Astrapia
Splendid Astrapia
Princess Stephanie's Astrapia
Pale-eyed Pygmy-tyrant
Forest Little Owl
Little Owl
Yellow-throated Greenbul
Pale-throated Greenbul
White-headed Brush-Finch
White-naped Brush Finch
Moustached Brush-finch
Antioquia Brush-Finch
Cuzco Brush Finch
Yellow-striped Brush-Finch
Choco Brush-finch
Yellow-headed Brush-Finch
Apurimac Brush-finch
Fulvous-headed Brush Finch
Dusky-headed Brush-Finch
Yellow-breasted Brush-finch
White-rimmed Brush-finch
White-winged Brush-finch
Santa Marta Brush Finch
Grey-eared Brush Finch
Black-spectacled Brush-Finch
Merida Brush-finch
Rusty-bellied Brush-Finch
Black-fronted Brush-finch
Pale-headed Brush-Finch
Pale-naped Brush-finch
Cream-crowned Brush-finch
Tepui Brush-finch
Rufous-capped Brush-finch
Rufous-eared Brush-finch
Bolivian Brush-finch
Slaty Brush-finch
Bay-crowned Brush-finch
Ochre-breasted Brush-finch
Taczanowski's Brush-finch
Vilcabamba Brush Finch
Tricolored Brush-finch
Noisy Scrub-bird
Rufous Scrub-bird
Forest Swallow
White-banded Swallow
Black-capped Swallow
White-thighed Swallow
White-eyed Attila
Cinnamon Attila
Citron-bellied Attila
Gray-hooded Attila
Bright-rumped Attila
Ochraceous Attila
Hooded Visorbearer
Yellow-browed Toucanet
Verdin
Olive-backed Foliage-gleaner
Pernambuco Foliage-gleaner
White-eyed Foliage-gleaner
Brown-rumped Foliage-gleaner
Buff-throated Foliage-gleaner
Para Foliage-gleaner
Chestnut-crowned Foliage-gleaner
Amazonian Woodhaunter
Western Woodhaunter
Jerdon's Baza
Lesser Scaup
Redhead
Ring-necked Duck
Northern Pochard
Ferruginous Duck
Canvasback
Black-crested Titmouse
Tufted Titmouse
Oak Titmouse
Juniper Titmouse
Bridled Titmouse
Sjostedt's Greenbul
Honeyguide Greenbul
Whale-headed Stork
Black Crowned-Crane
Grey Crowned-crane
Blue-and-gold Tanager
Gold-ringed Tanager
Moss-backed Tanager
Yellow-green Bush-Tanager
Black-and-gold Tanager
Golden-chested Tanager
Golden-crowned Warbler
Golden-browed Warbler
Yellow-crowned Warbler
Stripe-crowned Warbler
Gray-headed Warbler
White-bellied Warbler
Pirre Warbler
Fan-tailed Warbler
Black-cheeked Warbler
Rufous-capped Warbler
Three-banded Warbler
Three-striped Warbler
Sulawesi Myna
Long-crested Myna
Helmeted Myna
Giant Antshrike
Black-headed Rufous-warbler
Black-faced Rufous-warbler
Cape Batis
Dark Batis
Malawi Batis
Ruwenzori Batis
Western Black-headed Batis
Woodward's Batis
Ituri Batis
Boulton's Batis
Verreaux's Batis
Eastern Black-headed Batis
Angola Batis
Forest Batis
Chinspot Batis
West African Batis
Grey-headed Batis
Pygmy Batis
Bioko Batis
Pririt Batis
Reichenow's Batis
Senegal Batis
Pale Batis
Gould's Frogmouth
Long-tailed Parakeet
Palmcreeper
Common Tetraka
Black-and-white Shrike-flycatcher
White-bearded Antshrike
Grey-headed Bristlebill
Green-tailed Bristlebill
Yellow-lored Bristlebill
Red-tailed Bristlebill
Yellow-eyed Bristlebill
Maroon Woodpecker
Marsh Tchagra
Velvet-purple Coronet
Rufous-fronted Parakeet
Bridled Honeyeater
Eungella Honeyeater
Cedar Waxwing
Waxwing
Hazel Grouse
Ruffed Grouse
Dwarf Olive Ibis
Bob-tailed Weaver
White-throated Jacamar
Pale-headed Jacamar
Brown Jacamar
Dusky-backed Jacamar
Black-headed Bulbul
Andaman Bulbul
Grey-headed Bulbul
Short-legged Ground-roller
Himalayan Shortwing
Bornean Shortwing
Flores Shortwing
Taiwan Shortwing
Rusty-breasted Shortwing
Lesser Shortwing
Javan Shortwing
Philippine Shortwing
Sumatran Shortwing
Chinese Shortwing
Marbled Murrelet
Long-billed Murrelet
Böhm's Flycatcher
Dusky Blue Flycatcher
Sooty Flycatcher
Marico Flycatcher
Grey Flycatcher
Ussher's Flycatcher
Little Rush-warbler
Bangwa Forest-warbler
African Scrub-Warbler
Brown Emutail
White-winged Scrub-Warbler
Highland Rush-warbler
Bracken Warbler
Ja River Scrub-Warbler
Grauer's Swamp-warbler
Evergreen-forest Warbler
Grey Emu-tail
Knysna Warbler
Canada Goose
Barnacle Goose
Nene
Gray-cheeked Parakeet
Canary-winged Parakeet
White-billed Buffalo-Weaver
Red-billed Buffalo-weaver
Spotted Eagle-owl
Pharaoh Eagle-owl
Shelley's Eagle-Owl
Great Horned Owl
Cattle Egret
Trumpeter Finch
Mongolian Trumpeter Finch
Western Yellow-spotted Barbet
Eastern Yellow-spotted Barbet
Bulwer's Petrel
Yellow-billed Oxpecker
Red-billed Oxpecker
Indian Thick-knee
Stone Curlew
Rufous-winged Buzzard
White-throated Hawk
Zone-tailed Hawk
Augur Buzzard
Red-necked Buzzard
Madagascar Buzzard
Short-tailed Hawk
Common Buzzard
Galápagos Hawk
Upland Buzzard
Red-tailed Hawk
Eastern Buzzard
Rough-legged Buzzard
Red-shouldered Hawk
Grey-lined Hawk
Mountain Buzzard
Grey Hawk
Broad-winged Hawk
Himalayan Buzzard
Ferruginous Hawk
Hispaniolan Hawk
Long-legged Buzzard
Jackal Buzzard
Socotra Buzzard
Hawaiian Hawk
Forest Buzzard
Rufous-tailed Hawk
Rufous Crab-Hawk
Common Black Hawk
Crowned Solitary Eagle
Cuban Black Hawk
White-necked Hawk
Savanna Hawk
Slate-colored Hawk
Black Solitary Eagle
Great Black Hawk
Hooded Mountain Tanager
Green-backed Heron
White-thighed Hornbill
Silvery-cheeked Hornbill
Trumpeter Hornbill
Brown-cheeked Hornbill
White-tailed Hornbill
Eastern Piping Hornbill
Grey-cheeked Hornbill
Umbrella Cockatoo
Orange-crested Cockatoo
Ducorps's Cockatoo
Sulphur-crested Cockatoo
Goffin's Cockatoo
Red-vented Cockatoo
Leadbeater's Cockatoo
Moluccan Cockatoo
Blue-eyed Cockatoo
Western Corella
Little Corella
Yellow-crested Cockatoo
Long-billed Corella
Yellow-rumped Cacique
Southern Mountain-Cacique
Golden-winged Cacique
Black-tailed Cacique
Red-rumped Cacique
Selva Cacique
Band-tailed Oropendola
Northern Mountain-Cacique
Scarlet-rumped Cacique
Casqued Oropendola
Pacific Cacique
Ecuadorian Cacique
Solitary Cacique
Subtropical Cacique
Moluccan Cuckoo
Chestnut-breasted Cuckoo
Fan-tailed Cuckoo
Plaintive Cuckoo
Grey-bellied Cuckoo
Banded Bay Cuckoo
Brush Cuckoo
Muscovy Duck
Rufous Fieldwren
Shy Hylacola
Striated Fieldwren
Western Fieldwren
Chestnut-rumped Heathwren
Barred Wren-warbler
Grey Wren-warbler
Stierling's Wren-warbler
Miombo Wren-warbler
Zambian Yellow Warbler
Papyrus Yellow Warbler
Lark Bunting
Blanford's Lark
Greater Short-toed Lark
